iter	RMSE
191	5.31132276
192	5.309272799
193	5.305859839
194	5.303389102
195	5.302152772
196	5.299106918
197	5.296952967
198	5.294427917
199	5.292960517
200	5.290960246
201	5.286531155
202	5.281328299
203	5.278931615
204	5.277510761
205	5.274556948
206	5.271774483
207	5.269934378
208	5.267017492
209	5.264581773
210	5.261113648
211	5.257936389
212	5.254757068
213	5.25177507
214	5.248064708
215	5.245833659
216	5.244509057
217	5.241703268
218	5.240547658
219	5.238919649
220	5.234815886
221	5.230961288
222	5.229989227
223	5.228255483
224	5.225438502
225	5.223256102
226	5.221651
227	5.218615439
228	5.217775429
229	5.215390087
230	5.214173999
231	5.21198355
232	5.209784679
233	5.207406409
234	5.20552752
235	5.201391273
236	5.199506084
237	5.195506299
238	5.193072478
239	5.1908866
240	5.187876897
241	5.186119108
242	5.184015927
243	5.182236736
244	5.180408637
245	5.17829046
246	5.176507558
247	5.172541205
248	5.170341463
249	5.167378968
250	5.164839695
251	5.162693593
252	5.160204703
253	5.158649949
254	5.157316149
255	5.156240814
256	5.154049584
257	5.150381808
258	5.148749686
259	5.147219598
260	5.146086685
261	5.142857754
262	5.140064457
263	5.138489116
264	5.136844219
265	5.134789516
266	5.133633361
267	5.131885799
268	5.129085367
269	5.127961858
270	5.126291252
271	5.125061304
272	5.123303079
273	5.122465256
274	5.121344975
275	5.120132342
276	5.119064213
277	5.117768922
278	5.115689179
279	5.11454566
280	5.114100881
281	5.113160639
282	5.11203732
283	5.108752811
284	5.106908546
285	5.104497824
286	5.103659157
287	5.10311
288	5.101850488
289	5.099014487
290	5.096540605
291	5.095562962
292	5.094169765
293	5.092762504
294	5.092059081
295	5.091068891
296	5.088731719
297	5.085747978
298	5.084897586
299	5.083686098
300	5.082578341
301	5.080136645
302	5.079178129
303	5.07669877
304	5.073423059
305	5.072501453
306	5.071764856
307	5.068962603
308	5.06816291
309	5.066238383
310	5.065839047
311	5.063582533
312	5.062516018
313	5.061907524
314	5.060513213
315	5.06020638
316	5.059816171
317	5.057516798
318	5.057219345
319	5.056612688
320	5.054772401
321	5.052924359
322	5.050769124
323	5.046742614
324	5.046042905
325	5.044922298
326	5.043655406
327	5.042911459
328	5.041136804
329	5.038637301
330	5.037482357
331	5.03621516
332	5.035267866
333	5.035179115
334	5.032288184
335	5.030944765
336	5.028415691
337	5.027629052
338	5.026312714
339	5.025533506
340	5.02170515
341	5.019331912
342	5.017229012
343	5.014128815
344	5.01321923
345	5.01133086
346	5.009303264
347	5.005794116
348	5.003544278
349	5.001156902
350	5.000889356
351	5.000350333
352	4.997192977
353	4.995885238
354	4.993069706
355	4.990685315
356	4.989933879
357	4.987074232
358	4.986124198
359	4.985279358
360	4.983169628
361	4.980503335
362	4.979163455
363	4.97665017
364	4.97387709
365	4.972917458
366	4.971572885
367	4.969187206
368	4.967703199
369	4.964005905
370	4.961536434
371	4.960026864
372	4.959475093
373	4.957509085
374	4.954970619
375	4.952830845
376	4.951185004
377	4.94987945
378	4.948749623
379	4.947205715
380	4.944438863
381	4.942627648
382	4.939889738
383	4.938669257
384	4.937517007
385	4.936129153
386	4.932646843
387	4.93135928
388	4.928719796
389	4.926901124
390	4.925639011
391	4.923318702
392	4.921808036
393	4.919702268
394	4.918089802
395	4.916042627
396	4.913866766
397	4.913433191
398	4.911941659
399	4.909648678
400	4.907599568
401	4.90555012
402	4.904372905
403	4.901880387
404	4.900913667
405	4.897380023
406	4.896432439
407	4.89400686
408	4.893438199
409	4.891255191
410	4.890069612
411	4.887892895
412	4.886681807
413	4.885504324
414	4.883832332
415	4.881795994
416	4.880286169
417	4.878892571
418	4.875071327
419	4.873981948
420	4.873309993
421	4.87317501
422	4.871560956
423	4.869605115
424	4.869066187
425	4.868054139
426	4.866192418
427	4.863523113
428	4.86304781
429	4.860545854
430	4.858251363
431	4.856711588
432	4.855898209
433	4.855173472
434	4.853673001
435	4.850965914
436	4.850145315
437	4.849126637
438	4.847832665
439	4.845284413
440	4.844619173
441	4.843147938
442	4.840937238
443	4.838670297
444	4.836462857
445	4.833349382
446	4.832590461
447	4.829247029
448	4.828995603
449	4.826146579
450	4.822999484
451	4.819985886
452	4.819527532
453	4.817350766
454	4.816245704
455	4.814230021
456	4.811884482
457	4.810938465
458	4.810698207
459	4.809189657
460	4.808137656
461	4.805586523
462	4.804328256
463	4.803408091
464	4.801964009
465	4.800416147
466	4.797995082
467	4.797029919
468	4.795585755
469	4.793856571
470	4.792639182
471	4.790375264
472	4.788271974
473	4.786276561
474	4.784383411
475	4.782318027
476	4.78092221
477	4.780310064
478	4.777336096
479	4.775216898
480	4.774295239
481	4.772951069
482	4.772873742
483	4.770192879
484	4.768541637
485	4.768052201
486	4.766220156
487	4.765656694
488	4.763451448
489	4.762778097
490	4.761072398
491	4.759147063
492	4.757132063
493	4.756272165
494	4.755434939
495	4.754546158
496	4.753289201
497	4.75177985
498	4.750762622
499	4.748287206
500	4.746694378
501	4.745583667
502	4.744485943
503	4.742867441
504	4.742256259
505	4.740582729
506	4.738683854
507	4.73713862
508	4.734862277
509	4.732071879
510	4.73007188
511	4.729102513
512	4.727743002
513	4.725518868
514	4.724864105
515	4.723080779
516	4.72024745
517	4.719239463
518	4.717478025
519	4.716281324
520	4.713765859
521	4.711120695
522	4.710475344
523	4.708842966
524	4.707983838
525	4.70717461
526	4.706026593
527	4.704856947
528	4.704817726
529	4.703721058
530	4.702483478
531	4.701042698
532	4.699665236
533	4.697959345
534	4.697930369
535	4.695843896
536	4.693643165
537	4.692118986
538	4.691318313
539	4.689605947
540	4.689203275
541	4.687937964
542	4.6860792
543	4.68604047
544	4.684576449
545	4.682161117
546	4.679985267
547	4.679530444
548	4.677019934
549	4.675637704
550	4.674740907
551	4.674377846
552	4.673751953
553	4.671121666
554	4.670266586
555	4.668666933
556	4.667279373
557	4.664485277
558	4.662804428
559	4.661403564
560	4.659650292
561	4.658262984
562	4.656746187
563	4.656271953
564	4.654803153
565	4.652768487
566	4.652095255
567	4.650563471
568	4.649580081
569	4.647612873
570	4.646005244
571	4.644933664
572	4.644002413
573	4.641949737
574	4.640578985
575	4.63928784
576	4.638555774
577	4.637313285
578	4.635292445
579	4.633894755
580	4.632508121
581	4.632162883
582	4.630606948
583	4.628715135
584	4.627850045
585	4.626706984
586	4.624071253
587	4.623049137
588	4.621137669
589	4.62045005
590	4.619746713
591	4.618434271
592	4.616809178
593	4.615640424
594	4.615255285
595	4.613878807
596	4.613443147
597	4.611409613
598	4.609616857
599	4.609116438
600	4.60754075
601	4.60626745
602	4.605470119
603	4.603690546
604	4.602765011
605	4.602106804
606	4.599704662
607	4.597897903
608	4.597587917
609	4.596322117
610	4.594452117
611	4.593044433
612	4.591855843
613	4.590434076
614	4.589799115
615	4.588679074
616	4.588390089
617	4.586809872
618	4.585994738
619	4.584037721
620	4.581547572
621	4.58062415
622	4.579386008
623	4.578005146
624	4.576505947
625	4.575628634
626	4.574068093
627	4.57257273
628	4.570468961
629	4.569211872
630	4.56764094
631	4.566315465
632	4.566241646
633	4.563971774
634	4.563095025
635	4.561518381
636	4.560007075
637	4.558346283
638	4.557953093
639	4.555773538
640	4.555644853
641	4.55487093
642	4.552547565
643	4.551841735
644	4.550608555
645	4.548805887
646	4.546587932
647	4.545599844
648	4.545223198
649	4.542957006
650	4.541678164
651	4.540449183
652	4.53864802
653	4.538368464
654	4.536511349
655	4.535340538
656	4.533227343
657	4.531840798
658	4.531237807
659	4.530634893
660	4.529405311
661	4.527964755
662	4.526628126
663	4.52631622
664	4.524981332
665	4.523333769
666	4.521239859
667	4.519379352
668	4.518541898
669	4.517177109
670	4.517116055
671	4.516414002
672	4.515601953
673	4.513879387
674	4.513648115
675	4.512485588
676	4.511699925
677	4.510238447
678	4.508927534
679	4.508333556
680	4.506927715
681	4.505798312
682	4.504666397
683	4.503863959
684	4.502504218
685	4.501634107
686	4.500851053
687	4.499193029
688	4.498034198
689	4.497390713
690	4.495808324
691	4.495538473
692	4.49480796
693	4.494520949
694	4.49330458
695	4.492072001
696	4.490989274
697	4.490423518
698	4.489765303
699	4.489265305
700	4.48766298
701	4.486485988
702	4.486248847
703	4.485813781
704	4.484329942
705	4.482726493
706	4.481251107
707	4.480792897
708	4.479719602
709	4.47884297
710	4.477759686
711	4.477586387
712	4.476545073
713	4.474946708
714	4.47355455
715	4.471640716
716	4.470589559
717	4.469272925
718	4.468013808
719	4.466173648
720	4.466065047
721	4.464692521
722	4.463001489
723	4.462335066
724	4.461971525
725	4.461325546
726	4.460797146
727	4.459064319
728	4.458223619
729	4.457070275
730	4.455558858
731	4.454532205
732	4.453135812
733	4.453015708
734	4.452787284
735	4.451410941
736	4.450463689
737	4.450098409
738	4.44760538
739	4.447016736
740	4.446326974
741	4.444675233
742	4.444098626
743	4.443273828
744	4.441014479
745	4.438323893
746	4.437147613
747	4.435770768
748	4.435430453
749	4.43526507
750	4.433038528
751	4.432032939
752	4.431205739
753	4.430305394
754	4.429185912
755	4.428160064
756	4.428051187
757	4.427803052
758	4.426790056
759	4.425152681
760	4.424044644
761	4.423695207
762	4.422866471
763	4.421292679
764	4.420042537
765	4.419245044
766	4.418307661
767	4.417120157
768	4.416953605
769	4.416054043
770	4.415850599
771	4.415429724
772	4.414414288
773	4.41373774
774	4.412710547
775	4.411420082
776	4.409985721
777	4.409158447
778	4.408908821
779	4.408751059
780	4.407482641
781	4.406137667
782	4.404019097
783	4.402531631
784	4.401051919
785	4.400382248
786	4.399867738
787	4.397733353
788	4.396521493
789	4.395137199
790	4.394809672
791	4.39321177
792	4.392171673
793	4.391637852
794	4.391292226
795	4.389319582
796	4.388374625
797	4.387068002
798	4.386270818
799	4.385438412
800	4.384646731
801	4.382569797
802	4.38207419
803	4.380771449
804	4.379533459
805	4.378527093
806	4.377315922
807	4.376333441
808	4.374609448
809	4.374452229
810	4.373824345
811	4.372030609
812	4.370891412
813	4.369978061
814	4.368857275
815	4.368047465
816	4.366711761
817	4.364761634
818	4.363240575
819	4.362479909
820	4.36101998
821	4.359871706
822	4.359346728
823	4.359327475
824	4.358893418
825	4.357798715
826	4.356562734
827	4.355498638
828	4.354540668
829	4.354401332
830	4.353798823
831	4.353046244
832	4.351938758
833	4.350903788
834	4.349846898
835	4.349021407
836	4.348286594
837	4.347168397
838	4.345675207
839	4.344730239
840	4.344627203
841	4.343947287
842	4.34367952
843	4.342476098
844	4.34206955
845	4.341198031
846	4.340140431
847	4.339985189
848	4.339135849
849	4.337854983
850	4.336889213
851	4.336765997
852	4.335839981
853	4.334959331
854	4.33479052
855	4.333946416
856	4.333251303
857	4.33248047
858	4.331125791
859	4.330913117
860	4.330183669
861	4.329821269
862	4.329453054
863	4.328396175
864	4.327436483
865	4.327061995
866	4.326013837
867	4.324952934
868	4.324823022
869	4.323952395
870	4.323353057
871	4.322408308
872	4.321968899
873	4.321875192
874	4.319832243
875	4.319785493
876	4.319675699
877	4.318540758
878	4.317756254
879	4.317634184
880	4.316891252
881	4.316592119
882	4.315611585
883	4.314241549
884	4.312792699
885	4.311555879
886	4.310618361
887	4.309960518
888	4.308802713
889	4.30770873
890	4.307263553
891	4.305829318
892	4.305400069
893	4.30461696
894	4.302042366
895	4.30154761
896	4.300967649
897	4.300099007
898	4.299941871
899	4.298290242
900	4.298181984
901	4.297984081
902	4.297139852
903	4.297055651
904	4.29605119
905	4.295414774
906	4.294713316
907	4.29389875
908	4.293682255
909	4.293544352
910	4.293429999
911	4.293008759
912	4.292457087
913	4.29211058
914	4.291766299
915	4.291431982
916	4.291023964
917	4.290025457
918	4.289888145
919	4.288475254
920	4.287196218
921	4.286874189
922	4.285716396
923	4.284692629
924	4.280914043
925	4.279361562
926	4.278985642
927	4.278821208
928	4.277884827
929	4.275893846
930	4.274766832
931	4.274113336
932	4.272271153
933	4.270895009
934	4.27003618
935	4.268820332
936	4.268685961
937	4.268248527
938	4.268139226
939	4.266933075
940	4.266404034
941	4.265436918
942	4.265031929
943	4.264582284
944	4.263999836
945	4.263866816
946	4.263428733
947	4.262241359
948	4.261668777
949	4.261611187
950	4.260294399
951	4.259366451
952	4.259285363
953	4.258595049
954	4.258064072
955	4.257836367
956	4.257679054
957	4.256754726
958	4.256656808
959	4.255143585
960	4.254715531
961	4.253712287
962	4.252744604
963	4.251750638
964	4.250730002
965	4.249857262
966	4.249617838
967	4.249170751
968	4.248613105
969	4.24822772
970	4.24714336
971	4.246769662
972	4.24555339
973	4.243626472
974	4.240756527
975	4.240628903
976	4.239689
977	4.238968163
978	4.238584885
979	4.238048945
980	4.237370771
981	4.2354751
982	4.234339139
983	4.232992174
984	4.232281693
985	4.230420302
986	4.229994843
987	4.229439907
988	4.227884391
989	4.226994834
990	4.226051978
991	4.225749892
992	4.224667347
993	4.223580727
994	4.222817544
995	4.221509169
996	4.220749286
997	4.220227877
998	4.21836483
999	4.218136304
